table,scale-factor,latency-1thread(ms),latency-4thread(ms),size(KB)
customer,0.1,537.1,450.8,1.8
lineitem,0.1,8882.0,2878.0,5.0
nation,0.1,386.3,384.1,1.1
orders,0.1,2176.0,820.4,2.4
part,0.1,721.0,475.5,1.7
partsupp,0.1,798.4,524.6,1.4
region,0.1,389.5,384.4,0.8
supplier,0.1,403.1,390.5,1.6
customer,0.05,474.0,422.2,1.8
lineitem,0.05,4701.0,1667.0,5.0
nation,0.05,390.8,385.1,1.1
orders,0.05,1328.0,600.3,2.4
part,0.05,572.4,438.0,1.7
partsupp,0.05,604.8,458.6,1.4
region,0.05,394.5,384.0,0.8
supplier,0.05,399.5,388.1,1.6